26490,1
6476,0
22737,1
20478,0
29883,1
4194,0
10147,0
22475,1
19158,0
24306,1
23546,0
14278,0
8310,0
30690,1
20747,0
4414,0
17300,0
18762,0
3796,0
16981,0
31692,0
7821,0
29431,1
20537,1
16309,0
26673,0
1724,0
10590,1
10416,0
26846,1
31048,0
22068,0
11841,1
7793,0
32063,1
24613,0
31296,0
20358,0
27158,0
24409,1
16490,0
29349,0
24479,0
26819,0
17477,0
8498,0
10691,1
12872,1
29000,0
29532,0
13483,1
15454,0
17771,1
15513,1
16540,0
25645,0
11931,1
30990,0
24052,0
9559,1
20061,0
31777,0
4325,0
13486,0
19285,0
25856,0
30225,0
1563,0
4778,0
13654,1
7278,0
28146,0
21083,0
7087,1
12564,1
19451,1
12648,0
4482,0
17995,0
28480,0
4987,0
3390,1
585,0
2153,1
25104,1
22703,1
23601,0
8436,0
4136,0
13007,0
2938,0
16306,1
13683,0
7266,1
20786,1
14658,1
24108,1
16430,1
9939,1
3571,0
16406,0
22914,0
1533,1
5564,0
30933,0
30476,1
17444,0
7019,0
6018,0
438,0
12327,0
27660,0
14185,0
12137,0
7791,0
27744,0
31259,0
18131,0
13860,0
23348,0
7839,0
23392,0
826,0
23545,1
7065,0
22536,1
2775,1
18569,0
19675,0
24239,0
19206,0
17297,0
12126,0
11237,0
21229,0
4466,1
25872,0
14984,0
29340,0
28345,0
17916,0
16620,0
6271,0
4640,0
31927,0
3147,0
23036,0
3509,0
26306,0
31033,0
11367,0
5654,0
30638,0
28217,0
12560,1
32318,1
1022,0
7545,0
17565,0
9666,0
11409,1
4490,0
11486,0
16775,0
21677,0
29530,0
31904,0
11075,0
15162,0
537,0
4395,0
11471,0
19090,0
9767,0
29844,0
31935,0
4025,0
25547,0
22213,0
22347,0
2183,0
10048,0
31287,0
1831,0
16516,1
755,0
9089,0
30988,0
8992,0
28141,0
21884,1
8294,0
13128,1
26722,0
31870,0
5879,0
6939,0
17873,0
8950,0
27654,0
6602,0
25459,0
9865,1
18766,0
23195,0
1985,0
24934,0
7269,1
2482,0
8019,0
25878,0
4106,0
8598,0
19021,0
8867,0
27818,0
22755,0
26962,0
988,0
521,1
5178,0
10583,1
12669,0
23253,0
478,0
18425,0
23654,0
28969,1
1855,0
10698,0
26449,0
8366,1
26015,0
2066,1
